ticker,timestamp_utc,timestamp_ny,session_date_ny,bar_number_in_session,bar_interval_minutes,open,high,low,close,volume,market_cap_raw,session_bar_count,is_full_session,is_short_session,is_incomplete_session,source_file
AMD,2024-08-19 14:30:00+00:00,2024-08-19T10:30:00-0400,2024-08-19,2,60,149.52175283371304,153.68,149.52175283371304,152.87,782092,260985404058.6738,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-19 14:30:00+00:00,2024-08-19T10:30:00-0400,2024-08-19,2,60,344.1314987220692,346.05,344.1314987220692,345.065,18791,167719184036.945,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-19 14:30:00+00:00,2024-08-19T10:30:00-0400,2024-08-19,2,60,418.56345139187937,418.69,417.07,417.88,113640,3121688453756.541,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-19 14:30:00+00:00,2024-08-19T10:30:00-0400,2024-08-19,2,60,118.12096784287137,118.44,118.05,118.1925,29154,157687318356.1658,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-19 15:30:00+00:00,2024-08-19T11:30:00-0400,2024-08-19,3,60,151.19587641685652,154.07,151.19587641685652,152.90249999999995,585837,261040889279.0041,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-19 15:30:00+00:00,2024-08-19T11:30:00-0400,2024-08-19,3,60,344.5982493610346,345.1,344.1,344.7175,13525,167550281318.75323,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-19 15:30:00+00:00,2024-08-19T11:30:00-0400,2024-08-19,3,60,418.22172569593965,418.22172569593965,417.08,417.83625,103538,3121361628184.962,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-19 15:30:00+00:00,2024-08-19T11:30:00-0400,2024-08-19,3,60,118.15673392143567,118.5,118.15673392143567,118.31,19615,157844081770.99203,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-19 16:30:00+00:00,2024-08-19T12:30:00-0400,2024-08-19,4,60,152.04918820842823,152.67,151.83,152.39,395827,260165930035.3326,7,True,False,False,"BATS_AMD, 60.csv"
CAT,2024-08-19 16:30:00+00:00,2024-08-19T12:30:00-0400,2024-08-19,4,60,344.6578746805173,345.0,344.17,344.6025,8059,167494385455.17902,7,True,False,False,"BATS_CAT, 60.csv"
MSFT,2024-08-19 16:30:00+00:00,2024-08-19T12:30:00-0400,2024-08-19,4,60,418.0289878479698,419.2,417.99,418.4725,82895,3126114605783.082,7,True,False,False,"BATS_MSFT, 60.csv"
RTX,2024-08-19 16:30:00+00:00,2024-08-19T12:30:00-0400,2024-08-19,4,60,118.23336696071785,118.46,118.23336696071785,118.365,13457,157917460390.69797,7,True,False,False,"BATS_RTX, 60.csv"
AMD,2024-08-19 17:30:00+00:00,2024-08-19T13:30:00-0400,2024-08-19,5,60,152.2195941042141,153.78,152.2195941042141,153.125,435261,261420749633.5738,7,True,False,False,"BATS_AMD, 60.csv"
